title,value,weight,food,ingredients,recipe,adult portion size(g),child portion size(g),total recipe weight(g)
Scrambled Eggs,"[4, 2, 0, 0, 2]","[""large"", ""tablespoon"", ""to taste"", ""to taste"", ""tablespoon""]","[""eggs"", ""unsalted butter"", ""Salt"", ""Freshly ground black pepper"", ""whole milk or cream""]","[""4 large eggs (200g)"", ""2 tablespoons unsalted butter (28g)"", ""Salt to taste (2g)"", ""Freshly ground black pepper to taste (1g)"", ""2 tablespoons whole milk or cream (30ml)""]","[""1. Crack the eggs into a bowl; add milk or cream, salt, and pepper."", ""2. Whisk until well combined and slightly frothy."", ""3. Heat a non-stick skillet over medium-low heat; add butter and let it melt."", ""4. Pour the egg mixture into the skillet."", ""5. Allow the edges to set slightly, then gently stir with a spatula, forming soft curds."", ""6. Continue cooking and gently folding the eggs until they reach your desired consistency."", ""7. Remove from heat just before they are fully set, as they will continue to cook from residual heat."", ""8. Serve immediately.""]",100,50,260
Stir-Fry,"[2, 1, 1, 1, 1, 2, 1, 1, 1, 0]","[""tablespoon"", ""cup"", ""cup"", ""cup"", ""cup"", ""0"", ""tablespoon"", ""tablespoon"", ""teaspoon"", ""to taste""]","[""vegetable oil"", ""broccoli florets"", ""sliced carrots"", ""bell pepper strips"", ""snap peas"", ""garlic, minced"", ""soy sauce"", ""oyster sauce"", ""cornstarch mixed with water"", ""Salt and pepper""]","[""2 tablespoons vegetable oil (30ml)"", ""1 cup broccoli florets (150g)"", ""1 cup sliced carrots (120g)"", ""1 cup bell pepper strips (150g)"", ""1 cup snap peas (100g)"", ""2 cloves garlic, minced (6g)"", ""1 tablespoon soy sauce (15ml)"", ""1 tablespoon oyster sauce (15ml)"", ""1 teaspoon cornstarch (3g) mixed with 2 tablespoons water (30ml)"", ""Salt and pepper to taste (2g)""]","[""1. Heat vegetable oil in a large skillet or wok over medium-high heat."", ""2. Add minced garlic; sauté until fragrant, about 30 seconds."", ""3. Add broccoli and carrots; stir-fry for 2-3 minutes."", ""4. Add bell pepper strips and snap peas; continue stir-frying for another 2-3 minutes until vegetables are tender-crisp."", ""5. Stir in soy sauce and oyster sauce; mix well."", ""6. Pour in the cornstarch slurry; cook until the sauce thickens, about 1 minute."", ""7. Season with salt and pepper to taste."", ""8. Serve hot over steamed rice or noodles.""]",250,125,600
Mashed Potatoes,"[900, 60, 120, 0, 0]","[""g"", ""g"", ""ml"", ""to taste"", ""to taste""]","[""Yukon Gold potatoes, peeled and cut into chunks"", ""unsalted butter"", ""whole milk"", ""Salt"", ""Freshly ground black pepper""]","[""900g Yukon Gold potatoes, peeled and cut into chunks"", ""60g unsalted butter"", ""120ml whole milk"", ""Salt to taste (approximately 5g)"", ""Freshly ground black pepper to taste (approximately 1g)""]","[""1. Place the potato chunks in a large pot and cover with cold water."", ""2. Add a pinch of salt to the water and bring to a boil over medium-high heat."", ""3. Reduce heat to medium and simmer until potatoes are tender, about 15-20 minutes."", ""4. Drain the potatoes well and return them to the pot."", ""5. Add the butter to the potatoes and begin mashing with a potato masher or fork."", ""6. Gradually add the milk while continuing to mash until the potatoes reach your desired consistency."", ""7. Season with salt and freshly ground black pepper to taste."", ""8. Serve warm.""]",200,100,1000
Lasagna,"[12, 450, 450, 1, 4, 800, 340, 800, 120, 2, 1, 1, 2, 1, 0.25, 4, 450, 2, 450, 120]","[""0"", ""g"", ""g"", ""0"", ""0"", ""g"", ""g"", ""g"", ""ml"", ""tablespoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""tablespoon"", ""teaspoon"", ""tablespoon"", ""g"", ""0"", ""g"", ""g""]","[""lasagna noodles"", ""ground beef"", ""Italian sausage"", ""medium onion, finely chopped"", ""cloves garlic, minced"", ""canned crushed tomatoes"", ""tomato paste"", ""canned tomato sauce"", ""water"", ""white sugar"", ""dried basil leaves"", ""fennel seeds"", ""Italian seasoning"", ""salt, divided"", ""ground black pepper"", ""fresh parsley, chopped, divided"", ""ricotta cheese"", ""large eggs"", ""mozzarella cheese, sliced"", ""grated Parmesan cheese""]","[""12 lasagna noodles (uncooked)"", ""450g ground beef"", ""450g Italian sausage, casings removed"", ""1 medium onion, finely chopped (150g)"", ""4 cloves garlic, minced (12g)"", ""800g canned crushed tomatoes"", ""340g tomato paste"", ""800g canned tomato sauce"", ""120ml water"", ""2 tablespoons white sugar (25g)"", ""1 teaspoon dried basil leaves (2g)"", ""1 teaspoon fennel seeds (2g)"", ""2 teaspoons Italian seasoning (4g)"", ""1 tablespoon salt (15g), divided"", ""1/4 teaspoon ground black pepper (0.5g)"", ""4 tablespoons fresh parsley, chopped (15g), divided"", ""450g ricotta cheese"", ""2 large eggs (100g)"", ""450g mozzarella cheese, sliced"", ""120g grated Parmesan cheese""]","[""1. In a large pot over medium heat, cook ground beef, sausage, onion, and garlic until well browned. Drain excess fat."", ""2. Stir in crushed tomatoes, tomato paste, tomato sauce, and water. Season with sugar, basil, fennel seeds, Italian seasoning, 1 teaspoon salt, pepper, and 2 tablespoons parsley. Simmer, covered, for about 1 1/2 hours, stirring occasionally."", ""3. Bring a large pot of lightly salted water to a boil. Cook lasagna noodles in boiling water for 8 to 10 minutes. Drain noodles, and rinse with cold water. Set aside."", ""4. In a mixing bowl, combine ricotta cheese with eggs, remaining parsley, and 1 teaspoon salt."", ""5. Preheat oven to 375°F (190°C)."", ""6. To assemble, spread 1 1/2 cups of meat sauce in the bottom of a 9x13 inch baking dish. Place 6 noodles over meat sauce. Spread half of the ricotta cheese mixture over noodles. Top with a third of mozzarella cheese slices. Spoon 1 1/2 cups meat sauce over mozzarella, and sprinkle with 1/4 cup Parmesan cheese. Repeat layers, and top with remaining mozzarella and Parmesan cheese."", ""7. Cover with foil: to prevent sticking, either spray foil with cooking spray or use non-stick foil."", ""8. Bake in preheated oven for 25 minutes. Remove foil and bake for an additional 25 minutes."", ""9. Let stand for 15 minutes before serving.""]",300,150,3200
BBQ Ribs,"[2.5, 2, 0.25, 0.5, 0.5, 1, 2, 1, 0]","[""kg"", ""tablespoons"", ""cup"", ""teaspoon"", ""cup"", ""tablespoon"", ""tablespoons"", ""tablespoon"", ""0""]","[""baby back pork ribs"", ""olive oil"", ""finely diced onion"", ""ground cumin"", ""ketchup"", ""hot chili sauce"", ""light brown sugar"", ""apple cider vinegar"", ""Salt and ground black pepper to taste""]","[""2 racks baby back pork ribs (approximately 2.5 kg total)"", ""2 tablespoons olive oil (30 ml)"", ""1/4 cup finely diced onion (40 g)"", ""1/2 teaspoon ground cumin (1 g)"", ""1/2 cup ketchup (120 ml)"", ""1 tablespoon hot chili sauce (15 ml)"", ""2 tablespoons light brown sugar (25 g)"", ""1 tablespoon apple cider vinegar (15 ml)"", ""Salt and ground black pepper to taste (5 g)""]","[""1. Preheat the oven to 275°F (135°C)."", ""2. If present, remove the thin membrane covering the back of the ribs."", ""3. Season both sides of the ribs generously with salt and pepper."", ""4. Place the ribs, meaty side up, in a large roasting pan; cover tightly with aluminum foil."", ""5. Bake in the preheated oven until the meat is tender and pulls away from the bone, about 2.5 to 3.5 hours."", ""6. While the ribs are baking, prepare the BBQ sauce: In a saucepan over medium heat, heat olive oil and sauté diced onion until translucent, about 5 minutes."", ""7. Stir in ground cumin and cook for an additional 30 seconds."", ""8. Add ketchup, hot chili sauce, light brown sugar, and apple cider vinegar; stir to combine. Season with salt and pepper to taste. Simmer for 2 minutes and set aside."", ""9. Once ribs are tender, remove from the oven and discard the foil."", ""10. Generously brush both sides of the ribs with the prepared BBQ sauce."", ""11. (Optional) For a caramelized finish, preheat the broiler to high. Place the ribs under the broiler until the sauce begins to caramelize, 3 to 4 minutes. Monitor closely to prevent burning."", ""12. Let the ribs rest for a few minutes before slicing and serving.""]",300,150,2500
Caesar Salad,"[1, 0.5, 1, 0.5]","[""large head"", ""cup"", ""cup"", ""cup""]","[""romaine lettuce"", ""grated Parmesan cheese"", ""croutons"", ""Caesar dressing""]","[""1 large head of romaine lettuce (approximately 600g), washed and torn into bite-sized pieces"", ""1/2 cup grated Parmesan cheese (50g)"", ""1 cup croutons (50g)"", ""1/2 cup Caesar dressing (120ml)""]","[""1. In a large salad bowl, combine the torn romaine lettuce, grated Parmesan cheese, and croutons."", ""2. Drizzle the Caesar dressing over the salad ingredients."", ""3. Toss the salad gently until all components are evenly coated with the dressing."", ""4. Serve immediately.""]",200,100,820
Omelette,"[2, 2, 1, 0, 0, 0.25]","[""large"", ""tablespoons"", ""tablespoon"", ""0"", ""0"", ""cup""]","[""eggs"", ""whole milk"", ""unsalted butter"", ""Salt to taste"", ""Freshly ground black pepper to taste"", ""shredded cheddar cheese""]","[""2 large eggs (100g)"", ""2 tablespoons whole milk (30ml)"", ""1 tablespoon unsalted butter (14g)"", ""Salt to taste (1g)"", ""Freshly ground black pepper to taste (0.5g)"", ""1/4 cup shredded cheddar cheese (28g)""]","[""1. In a bowl, whisk together eggs, milk, salt, and pepper until well combined."", ""2. Heat a non-stick skillet over medium heat and melt the butter, ensuring it coats the pan evenly."", ""3. Pour the egg mixture into the skillet, tilting to spread it evenly."", ""4. As the edges set, gently lift them with a spatula, allowing uncooked egg to flow underneath."", ""5. When the eggs are mostly set but still slightly runny on top, sprinkle the shredded cheddar cheese over one half of the omelette."", ""6. Fold the omelette in half over the cheese and cook for an additional 1-2 minutes until the cheese melts."", ""7. Slide the omelette onto a plate and serve immediately.""]",150,75,172
Beef Burritos,"[450, 1, 2, 1, 120, 1, 8, 200, 1, 1, 1, 0.5, 0.5]","[""g"", ""medium"", ""0"", ""packet"", ""ml"", ""can"", ""large"", ""g"", ""cup"", ""cup"", ""medium"", ""cup"", ""cup""]","[""ground beef"", ""onion, finely chopped"", ""garlic, minced"", ""taco seasoning mix"", ""water"", ""refried beans"", ""flour tortillas"", ""shredded cheddar cheese"", ""cooked white rice"", ""shredded lettuce"", ""tomato, diced"", ""sour cream"", ""salsa""]","[""450g ground beef"", ""1 medium onion, finely chopped (150g)"", ""2 cloves garlic, minced (6g)"", ""1 packet taco seasoning mix (30g)"", ""120ml water"", ""1 can (400g) refried beans"", ""8 large flour tortillas (25cm diameter)"", ""200g shredded cheddar cheese"", ""1 cup cooked white rice (200g)"", ""1 cup shredded lettuce (50g)"", ""1 medium tomato, diced (100g)"", ""1/2 cup sour cream (120ml)"", ""1/2 cup salsa (120ml)""]","[""1. In a large skillet over medium heat, cook the ground beef until browned, about 5-7 minutes. Drain excess fat."", ""2. Add the chopped onion and minced garlic to the skillet; cook until the onion is translucent, about 3 minutes."", ""3. Stir in the taco seasoning mix and water; simmer for 5 minutes until the mixture thickens."", ""4. Warm the refried beans in a separate saucepan over low heat, stirring occasionally."", ""5. Heat the flour tortillas in a dry skillet or microwave until pliable."", ""6. To assemble each burrito: spread a spoonful of refried beans onto the center of a tortilla, add a portion of the beef mixture, followed by shredded cheddar cheese, cooked rice, lettuce, diced tomato, sour cream, and salsa."", ""7. Fold the sides of the tortilla over the filling, then roll it up from the bottom to enclose the filling completely."", ""8. Serve immediately or wrap in foil to keep warm.""]",300,150,2400
Hamburger,"[450, 1, 0.5, 4, 4, 0, 0, 0, 0, 0]","[""g"", ""teaspoon"", ""teaspoon"", ""0"", ""slices"", ""0"", ""0"", ""0"", ""0"", ""0""]","[""ground beef"", ""salt"", ""freshly ground black pepper"", ""hamburger buns"", ""cheddar cheese (optional)"", ""Lettuce leaves"", ""Sliced tomatoes"", ""Sliced onions"", ""Pickle slices (optional)"", ""Condiments: ketchup, mustard, mayonnaise""]","[""450g ground beef (80% lean)"", ""1 teaspoon salt (5g)"", ""1/2 teaspoon freshly ground black pepper (1g)"", ""4 hamburger buns (200g total)"", ""4 slices cheddar cheese (optional, 100g total)"", ""Lettuce leaves (40g)"", ""Sliced tomatoes (80g)"", ""Sliced onions (40g)"", ""Pickle slices (optional, 30g)"", ""Condiments: ketchup, mustard, mayonnaise (as desired)""]","[""1. In a mixing bowl, combine ground beef, salt, and black pepper. Mix gently to avoid overworking the meat."", ""2. Divide the mixture into four equal portions (approximately 112g each) and shape into patties about 1.5 cm thick."", ""3. Preheat a grill or skillet over medium-high heat."", ""4. Cook the patties for 3-4 minutes on each side for medium doneness, or until they reach an internal temperature of 71°C."", ""5. If using cheese, place a slice on each patty during the last minute of cooking to allow it to melt."", ""6. Toast the hamburger buns on the grill or in a toaster until lightly browned."", ""7. Assemble the burgers by placing each patty on the bottom half of a bun, then adding lettuce, tomato slices, onion slices, pickles, and condiments as desired. Top with the other half of the bun."", ""8. Serve immediately.""]",250,125,800
Pot Roast,"[1.5, 2, 1, 3, 4, 4, 2, 1, 2, 2, 2, 0]","[""kg"", ""tablespoons"", ""large"", ""0"", ""large"", ""medium"", ""cups"", ""cup"", ""tablespoons"", ""teaspoons"", ""teaspoons"", ""0""]","[""beef chuck roast"", ""vegetable oil"", ""onion, chopped"", ""garlic, minced"", ""carrots, cut into chunks"", ""potatoes, peeled and quartered"", ""beef broth"", ""red wine"", ""tomato paste"", ""dried thyme"", ""dried rosemary"", ""Salt and pepper to taste""]","[""1.5 kg beef chuck roast"", ""2 tablespoons vegetable oil (30 ml)"", ""1 large onion, chopped (200 g)"", ""3 cloves garlic, minced (9 g)"", ""4 large carrots, cut into chunks (400 g)"", ""4 medium potatoes, peeled and quartered (800 g)"", ""2 cups beef broth (480 ml)"", ""1 cup red wine (240 ml)"", ""2 tablespoons tomato paste (30 g)"", ""2 teaspoons dried thyme (2 g)"", ""2 teaspoons dried rosemary (2 g)"", ""Salt and pepper to taste (5 g)""]","[""1. Preheat the oven to 160°C (325°F)."", ""2. Season the beef chuck roast generously with salt and pepper."", ""3. In a large Dutch oven, heat vegetable oil over medium-high heat."", ""4. Sear the roast on all sides until browned, about 4 minutes per side. Remove and set aside."", ""5. In the same pot, add chopped onion and cook until translucent, about 5 minutes."", ""6. Add minced garlic and cook for an additional minute."", ""7. Stir in tomato paste, cooking for 2 minutes."", ""8. Pour in beef broth and red wine, scraping up any browned bits from the bottom of the pot."", ""9. Add dried thyme and rosemary; stir to combine."", ""10. Return the roast to the pot, along with any accumulated juices."", ""11. Arrange carrots and potatoes around the roast."", ""12. Bring the liquid to a simmer, then cover the pot with a tight-fitting lid."", ""13. Transfer to the preheated oven and cook for 3 to 4 hours, or until the meat is fork-tender."", ""14. Remove the pot from the oven and let it rest for 10 minutes before serving.""]",300,150,3159
Baked Potatoes,"[4, 2, 1]","[""large"", ""tablespoons"", ""teaspoon""]","[""russet potatoes"", ""olive oil"", ""kosher salt""]","[""4 large russet potatoes (approximately 300g each)"", ""2 tablespoons olive oil (30ml)"", ""1 teaspoon kosher salt (5g)""]","[""1. Preheat the oven to 200°C (400°F)."", ""2. Scrub the potatoes thoroughly under running water and pat them dry with a towel."", ""3. Using a fork, pierce each potato several times to allow steam to escape during baking."", ""4. Rub each potato with olive oil, ensuring an even coating."", ""5. Sprinkle kosher salt over the potatoes, covering all sides."", ""6. Place the potatoes directly on the middle oven rack, with a baking sheet on the lower rack to catch any drippings."", ""7. Bake for 50-60 minutes, or until the potatoes are tender when pierced with a fork."", ""8. Remove from the oven and let them cool slightly before serving.""]",300,150,1200
Fried Chicken,"[1, 500, 300, 2, 1, 1, 0.5, 0.5, 0]","[""whole"", ""ml"", ""g"", ""teaspoons"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""0""]","[""chicken, cut into 8 pieces"", ""buttermilk"", ""all-purpose flour"", ""salt"", ""black pepper"", ""paprika"", ""garlic powder"", ""onion powder"", ""Vegetable oil for frying""]","[""1 whole chicken (approximately 1.5 kg), cut into 8 pieces"", ""500 ml buttermilk"", ""300 g all-purpose flour"", ""2 teaspoons salt (10 g)"", ""1 teaspoon black pepper (2 g)"", ""1 teaspoon paprika (2 g)"", ""1/2 teaspoon garlic powder (1 g)"", ""1/2 teaspoon onion powder (1 g)"", ""Vegetable oil for frying""]","[""1. Place the chicken pieces in a large bowl and pour the buttermilk over them. Cover and refrigerate for at least 4 hours, preferably overnight."", ""2. In a separate bowl, combine the flour, salt, black pepper, paprika, garlic powder, and onion powder."", ""3. Remove the chicken from the buttermilk, allowing excess to drip off, and dredge each piece in the seasoned flour mixture, ensuring an even coating."", ""4. Heat vegetable oil in a deep skillet or fryer to 175°C (350°F)."", ""5. Fry the chicken in batches, avoiding overcrowding, for 12-15 minutes per side, or until golden brown and the internal temperature reaches 75°C (165°F)."", ""6. Transfer the fried chicken to a wire rack to drain excess oil."", ""7. Serve hot.""]",200,100,1500
Enchiladas,"[2, 1, 1, 1, 0.5, 8, 2, 1, 0]","[""cups"", ""cup"", ""cup"", ""can"", ""cup"", ""0"", ""cups"", ""tablespoon"", ""0""]","[""cooked shredded chicken"", ""shredded cheddar cheese"", ""shredded Monterey Jack cheese"", ""diced green chilies"", ""chopped onions"", ""flour tortillas"", ""red enchilada sauce"", ""vegetable oil"", ""Salt and pepper to taste""]","[""2 cups cooked shredded chicken (300g)"", ""1 cup shredded cheddar cheese (100g)"", ""1 cup shredded Monterey Jack cheese (100g)"", ""1 can (4 oz) diced green chilies (113g)"", ""1/2 cup chopped onions (75g)"", ""8 flour tortillas (8-inch, 320g total)"", ""2 cups red enchilada sauce (480ml)"", ""1 tablespoon vegetable oil (15ml)"", ""Salt and pepper to taste (5g)""]","[""1. Preheat the oven to 350°F (175°C)."", ""2. In a skillet over medium heat, add vegetable oil and sauté chopped onions until translucent, about 5 minutes."", ""3. In a mixing bowl, combine shredded chicken, sautéed onions, diced green chilies, half of the cheddar cheese, and half of the Monterey Jack cheese. Season with salt and pepper to taste."", ""4. Warm the flour tortillas in the microwave for about 30 seconds to make them pliable."", ""5. Spoon approximately 1/4 cup of the chicken mixture onto each tortilla, roll them up, and place seam-side down in a greased 9x13-inch baking dish."", ""6. Pour the red enchilada sauce evenly over the rolled tortillas."", ""7. Sprinkle the remaining cheddar and Monterey Jack cheeses over the top."", ""8. Cover the dish with aluminum foil and bake in the preheated oven for 20 minutes."", ""9. Remove the foil and bake for an additional 10 minutes, or until the cheese is melted and bubbly."", ""10. Let the enchiladas rest for 5 minutes before serving.""]",250,125,1288
BLT Sandwich,"[4, 4, 4, 1, 2, 0]","[""slices"", ""slices"", ""leaves"", ""medium"", ""tablespoons"", ""0""]","[""white or whole-grain bread"", ""bacon"", ""iceberg or romaine lettuce"", ""tomato, sliced"", ""mayonnaise"", ""Salt and freshly ground black pepper to taste""]","[""4 slices of white or whole-grain bread (120g)"", ""4 slices of bacon (100g)"", ""4 leaves of iceberg or romaine lettuce (40g)"", ""1 medium tomato, sliced (120g)"", ""2 tablespoons mayonnaise (30g)"", ""Salt and freshly ground black pepper to taste (2g)""]","[""1. Cook the bacon in a skillet over medium heat until crispy, about 5-7 minutes. Drain on paper towels."", ""2. Toast the bread slices until golden brown."", ""3. Spread 1 tablespoon of mayonnaise on one side of each slice of toasted bread."", ""4. Layer the lettuce leaves on two slices of the bread."", ""5. Place the tomato slices on top of the lettuce; season with salt and freshly ground black pepper."", ""6. Add the crispy bacon slices on top of the tomatoes."", ""7. Top with the remaining slices of bread, mayonnaise side down."", ""8. Cut the sandwiches in half and serve immediately.""]",200,100,410
Cobb Salad,"[6, 2, 4, 2, 1, 1, 0.5, 0.25, 0.5]","[""cups"", ""cups"", ""slices"", ""0"", ""0"", ""cup"", ""cup"", ""cup"", ""cup""]","[""chopped romaine lettuce"", ""cooked, diced chicken breast"", ""cooked bacon, crumbled"", ""hard-boiled eggs, chopped"", ""avocado, diced"", ""cherry tomatoes, halved"", ""crumbled blue cheese"", ""chopped chives"", ""red wine vinaigrette dressing""]","[""6 cups chopped romaine lettuce (300g)"", ""2 cups cooked, diced chicken breast (300g)"", ""4 slices cooked bacon, crumbled (40g)"", ""2 hard-boiled eggs, chopped (100g)"", ""1 avocado, diced (150g)"", ""1 cup cherry tomatoes, halved (150g)"", ""1/2 cup crumbled blue cheese (60g)"", ""1/4 cup chopped chives (15g)"", ""1/2 cup red wine vinaigrette dressing (120ml)""]","[""1. In a large salad bowl, arrange the chopped romaine lettuce as the base."", ""2. Neatly arrange the diced chicken, crumbled bacon, chopped eggs, diced avocado, halved cherry tomatoes, crumbled blue cheese, and chopped chives in rows over the lettuce."", ""3. Drizzle the red wine vinaigrette dressing evenly over the salad."", ""4. Gently toss the salad to combine all ingredients just before serving.""]",300,150,1115
Shepherd’s Pie,"[1, 100, 50, 0, 2, 1, 2, 2, 500, 2, 1, 250, 1, 1, 1]","[""kg"", ""ml"", ""g"", ""0"", ""tablespoons"", ""large"", ""0"", ""medium"", ""g"", ""tablespoons"", ""tablespoon"", ""ml"", ""teaspoon"", ""teaspoon"", ""cup""]","[""potatoes, peeled and cut into chunks"", ""whole milk"", ""unsalted butter"", ""Salt and freshly ground black pepper to taste"", ""olive oil"", ""onion, finely chopped"", ""garlic, minced"", ""carrots, diced"", ""ground lamb"", ""all-purpose flour"", ""tomato paste"", ""beef broth"", ""Worcestershire sauce"", ""dried thyme"", ""frozen peas""]","[""1 kg potatoes, peeled and cut into chunks"", ""100 ml whole milk"", ""50 g unsalted butter"", ""Salt and freshly ground black pepper to taste (5 g)"", ""2 tablespoons olive oil (30 ml)"", ""1 large onion, finely chopped (200 g)"", ""2 cloves garlic, minced (6 g)"", ""2 medium carrots, diced (200 g)"", ""500 g ground lamb"", ""2 tablespoons all-purpose flour (16 g)"", ""1 tablespoon tomato paste (15 g)"", ""250 ml beef broth"", ""1 teaspoon Worcestershire sauce (5 ml)"", ""1 teaspoon dried thyme (1 g)"", ""1 cup frozen peas (150 g)""]","[""1. Preheat the oven to 200°C (400°F)."", ""2. In a large pot, boil the potatoes in salted water until tender, about 15 minutes. Drain and return to the pot."", ""3. Add milk and butter to the potatoes; mash until smooth. Season with salt and pepper. Set aside."", ""4. In a large skillet, heat olive oil over medium heat. Sauté the onion, garlic, and carrots until softened, about 5 minutes."", ""5. Add the ground lamb to the skillet; cook until browned, breaking it up with a spoon, about 5 minutes."", ""6. Stir in the flour and tomato paste; cook for 2 minutes."", ""7. Pour in the beef broth, Worcestershire sauce, and add dried thyme. Bring to a simmer and cook until the mixture thickens, about 5 minutes."", ""8. Stir in the frozen peas and cook for an additional 2 minutes."", ""9. Transfer the meat mixture to a baking dish, spreading it evenly."", ""10. Spoon the mashed potatoes over the meat mixture, smoothing the top. Use a fork to create a pattern on the surface."", ""11. Bake in the preheated oven until the top is golden brown, about 20 minutes."", ""12. Let stand for 10 minutes before serving.""]",300,150,1897
Fajitas,"[500, 1, 1, 1, 1, 2, 2, 1, 1, 0.5, 0.5, 0.5, 0.25, 0, 1, 8, 0]","[""g"", ""0"", ""0"", ""0"", ""large"", ""tablespoons"", ""teaspoons"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""teaspoon"", ""0"", ""lime"", ""small"", ""0""]","[""boneless, skinless chicken breasts, thinly sliced"", ""red bell pepper, thinly sliced"", ""green bell pepper, thinly sliced"", ""yellow bell pepper, thinly sliced"", ""onion, thinly sliced"", ""olive oil"", ""chili powder"", ""ground cumin"", ""smoked paprika"", ""garlic powder"", ""onion powder"", ""dried oregano"", ""crushed red pepper flakes"", ""Salt and freshly ground black pepper to taste"", ""Juice of lime"", ""flour tortillas"", ""Optional toppings: sour cream, guacamole, salsa, shredded cheese, chopped cilantro""]","[""500g boneless, skinless chicken breasts, thinly sliced"", ""1 red bell pepper, thinly sliced (150g)"", ""1 green bell pepper, thinly sliced (150g)"", ""1 yellow bell pepper, thinly sliced (150g)"", ""1 large onion, thinly sliced (200g)"", ""2 tablespoons olive oil (30ml)"", ""2 teaspoons chili powder (4g)"", ""1 teaspoon ground cumin (2g)"", ""1 teaspoon smoked paprika (2g)"", ""1/2 teaspoon garlic powder (1g)"", ""1/2 teaspoon onion powder (1g)"", ""1/2 teaspoon dried oregano (1g)"", ""1/4 teaspoon crushed red pepper flakes (0.5g)"", ""Salt and freshly ground black pepper to taste (5g)"", ""Juice of 1 lime (30ml)"", ""8 small flour tortillas (240g)"", ""Optional toppings: sour cream, guacamole, salsa, shredded cheese, chopped cilantro""]","[""1. In a small bowl, combine chili powder, ground cumin, smoked paprika, garlic powder, onion powder, dried oregano, crushed red pepper flakes, salt, and black pepper."", ""2. Place the sliced chicken in a large bowl; drizzle with 1 tablespoon of olive oil and lime juice. Sprinkle the spice mixture over the chicken and toss to coat evenly. Let marinate for at least 30 minutes."", ""3. In a large skillet over medium-high heat, add the remaining 1 tablespoon of olive oil."", ""4. Add the sliced onions and bell peppers to the skillet; sauté until they begin to soften, about 5 minutes. Remove from the skillet and set aside."", ""5. In the same skillet, add the marinated chicken slices; cook until fully cooked and slightly charred, about 5-7 minutes."", ""6. Return the sautéed onions and bell peppers to the skillet; toss with the chicken until heated through."", ""7. Warm the flour tortillas in a dry skillet or microwave."", ""8. Serve the chicken and vegetable mixture with warm tortillas and desired toppings.""]",300,150,1450
French Toast,"[4, 2, 120, 1, 0.5, 1, 0]","[""slices"", ""large"", ""ml"", ""teaspoon"", ""teaspoon"", ""tablespoon"", ""pinch""]","[""day-old bread"", ""eggs"", ""whole milk"", ""vanilla extract"", ""ground cinnamon"", ""unsalted butter"", ""salt""]","[""4 slices of day-old bread (200g)"", ""2 large eggs (100g)"", ""120ml whole milk"", ""1 teaspoon vanilla extract (5ml)"", ""1/2 teaspoon ground cinnamon (1g)"", ""1 tablespoon unsalted butter (14g)"", ""Pinch of salt (0.5g)""]","[""1. In a shallow bowl, whisk together eggs, milk, vanilla extract, ground cinnamon, and a pinch of salt until well combined."", ""2. Heat a non-stick skillet over medium heat and melt the unsalted butter."", ""3. Dip each slice of bread into the egg mixture, allowing it to soak for about 10 seconds on each side."", ""4. Place the soaked bread slices onto the skillet and cook until golden brown, approximately 2-3 minutes per side."", ""5. Serve warm, optionally topped with maple syrup, powdered sugar, or fresh fruits.""]",150,75,334
Tuna Salad,"[2, 0.25, 1, 0.25, 2, 1, 1, 0]","[""cans"", ""cup"", ""tablespoon"", ""cup"", ""tablespoons"", ""tablespoon"", ""teaspoon"", ""0""]","[""tuna packed in water, drained"", ""mayonnaise"", ""Dijon mustard"", ""finely chopped celery"", ""finely chopped red onion"", ""sweet pickle relish"", ""lemon juice"", ""Salt and freshly ground black pepper to taste""]","[""2 cans (170g each) tuna packed in water, drained"", ""1/4 cup mayonnaise (60g)"", ""1 tablespoon Dijon mustard (15g)"", ""1/4 cup finely chopped celery (30g)"", ""2 tablespoons finely chopped red onion (20g)"", ""1 tablespoon sweet pickle relish (15g)"", ""1 teaspoon lemon juice (5ml)"", ""Salt and freshly ground black pepper to taste (2g)""]","[""1. In a medium bowl, combine the drained tuna, mayonnaise, and Dijon mustard; mix until well combined."", ""2. Add the chopped celery, red onion, and sweet pickle relish to the bowl; stir to incorporate evenly."", ""3. Stir in the lemon juice, and season with salt and freshly ground black pepper to taste."", ""4. Cover and refrigerate for at least 30 minutes to allow the flavors to meld."", ""5. Serve chilled, as a sandwich filling, on a bed of lettuce, or with crackers.""]",150,75,400
